CODCALLE,TEXTO,CAPACIDAD,UTM_X,UTM_Y,NOTAS,TIPO
40202,CALLE SAN JUAN EVANGELISTA,800.0,379963.326588,3152383.22809,,Papel_Carton
44672,CALLE PEDRO DOBLADO CLAVERIE,800.0,374186.585106,3147918.20881,,Papel_Carton
45644,CALLE CARDENAL CISNEROS,800.0,374604.194295,3148155.22598,,Papel_Carton
45644,CALLE CARDENAL CISNEROS,120.0,374609.443639,3148153.91364,,Papel_Carton
10563,AVDA JOSE MARTI,120.0,378281.158925,3151159.65157,,Papel_Carton
57877,CALLE DECANO CONSULAR JESUS RAMOS GONZALEZ,800.0,372801.617068,3144611.09392,,Papel_Carton
57877,CALLE DECANO CONSULAR JESUS RAMOS GONZALEZ,120.0,372806.016453,3144611.77075,,Papel_Carton
50421,AVDA DE TINCER,800.0,372280.705565,3147132.3865,,Papel_Carton
50421,AVDA DE TINCER,120.0,372283.41288,3147127.98711,,Papel_Carton
50587,CALLE MARIA DE LA PAZ,800.0,372410.31765,3146458.29159,,Papel_Carton
50974,CALLE GANSO,800.0,370542.707293,3146604.55486,,Papel_Carton
51923,CALLE CONVENTO,800.0,369255.23295,3146731.37904,,Papel_Carton
10114,CALLE LA ROSA,120.0,377693.830836,3150110.44962,,Papel_Carton
82217,CALLE ANTONIO MACHADO,800.0,375900.960055,3148878.06739,,Papel_Carton
42561,CALLE NUÑEZ DE LA PEÑA,800.0,375396.890864,3148387.43104,,Papel_Carton
42561,CALLE NUÑEZ DE LA PEÑA,120.0,375393.341103,3148387.43104,,Papel_Carton
10799,PASEO LAS RETAMAS,800.0,373927.543285,3147920.59591,,Papel_Carton
10799,PASEO LAS RETAMAS,120.0,373925.996554,3147917.76703,,Papel_Carton
57711,PSAJE LOS BANQUITOS,800.0,386959.017781,3155942.94908,,Papel_Carton
41051,CALLE REVERENDO ONESIMO BETANCORT,800.0,378862.689375,3151887.13871,,Papel_Carton
41051,CALLE REVERENDO ONESIMO BETANCORT,120.0,378860.430436,3151889.18251,,Papel_Carton
40933,CTRA TAHODIO,800.0,377857.451709,3151762.78166,,Papel_Carton
40933,CTRA TAHODIO,120.0,377855.730613,3151765.90114,,Papel_Carton
59072,CALLE AGANA,800.0,372079.111325,3144985.74825,,Papel_Carton
10101,CALLE CUPRESO,800.0,372304.016542,3144754.65946,,Papel_Carton
10107,CALLE EL REMANSO,3000.0,374430.310794,3147394.27291,,Papel_Carton
45613,CALLE ARAUCANO,3000.0,374381.327997,3148049.88601,,Papel_Carton
30366,CALLE SANTIAGO CUADRADO,3000.0,376425.173199,3149896.42227,,Papel_Carton
30366,CALLE SANTIAGO CUADRADO,3000.0,376409.939989,3149771.22,,Papel_Carton
20205,CALLE PANAMA,3000.0,375976.140612,3148250.14595,,Papel_Carton
20205,CALLE PANAMA,3000.0,376016.426727,3148289.79696,,Papel_Carton
